,JP_PAO1_A_cip,JP_PAO1_B_cip,JP_PAO1_C_cip,JP_1128_A_cip,JP_1128_B_cip,JP_1128_C_cip,JP_1139_A_cip,JP_1139_B_cip,JP1139_C_cip
"IGR:(ORIGIN/CDS,PA0001,dnaA,chromosome_replication_initiator_DnaA,cds0,+,1544):+:461:NC_002516.2",38,162,59,139,10,11,106,38,13
"AS_IGR:(ORIGIN/CDS,PA0001,dnaA,chromosome_replication_initiator_DnaA,cds0,+,1544):+:461:NC_002516.2",12,27,16,38,2,14,22,9,5
CDS:PA0001:dnaA:chromosome_replication_initiator_DnaA:cds0:+:1544:NC_002516.2,1096,2661,785,2699,393,395,1442,837,356
AS_CDS:PA0001:dnaA:chromosome_replication_initiator_DnaA:cds0:+:1544:NC_002516.2,370,1290,303,1382,189,217,769,560,126
CDS:PA0002:dnaN:DNA_polymerase_III_subunit_beta:cds1:+:1103:NC_002516.2,760,1810,608,1901,353,350,1097,557,300
AS_CDS:PA0002:dnaN:DNA_polymerase_III_subunit_beta:cds1:+:1103:NC_002516.2,43,134,53,124,14,29,84,44,20
CDS:PA0003:recF:recombination_protein_F:cds2:+:1109:NC_002516.2,1284,3607,1243,3274,509,546,2156,897,450
AS_CDS:PA0003:recF:recombination_protein_F:cds2:+:1109:NC_002516.2,32,93,20,130,6,24,69,31,8
CDS:PA0004:gyrB:DNA_gyrase_subunit_B:cds3:+:2420:NC_002516.2,1864,4714,1299,4632,760,971,3219,1230,704
AS_CDS:PA0004:gyrB:DNA_gyrase_subunit_B:cds3:+:2420:NC_002516.2,134,416,113,372,44,46,213,140,83
"IGR:(CDS,PA0004,gyrB,DNA_gyrase_subunit_B,cds3,+,2420/CDS,PA0005,lptA,lysophosphatidic_acid_acyltransferase%2C_LptA,cds4,-,773):+:261:NC_002516.2",71,321,71,432,44,46,234,113,36
"AS_IGR:(CDS,PA0004,gyrB,DNA_gyrase_subunit_B,cds3,+,2420/CDS,PA0005,lptA,lysophosphatidic_acid_acyltransferase%2C_LptA,cds4,-,773):+:261:NC_002516.2",3,8,4,29,4,1,12,3,3
CDS:PA0005:lptA:lysophosphatidic_acid_acyltransferase%2C_LptA:cds4:-:773:NC_002516.2,174,447,154,549,63,103,301,177,90
