"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","R2866_0002","rps12","(GenBank) 30S ribosomal subunit protein S12","Ribosome"
"2","R2866_0003","rps7","(GenBank) 30S ribosomal subunit protein S7","Ribosome"
"3","R2866_0006","tusB","(GenBank) Probable tRNA 2-thiouridine synthesizing protein B","Sulfur relay system"
"4","R2866_0007","tusC","(GenBank) tRNA 2-thiouridine synthesizing protein C","Sulfur relay system"
"5","R2866_0008","tusD","(GenBank) tRNA 2-thiouridine synthesizing protein D","Sulfur relay system"
"6","R2866_0012","pgdX","(GenBank) Peroxiredoxin/glutaredoxin glutathione-dependent peroxidase","Glutathione metabolism, Metabolic pathways"
"7","R2866_0018","rpe","(GenBank) D-ribulose-5-phosphate 3-epimerase","Pentose phosphate pathway, Pentose and glucuronate interconversions, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"8","R2866_0019","gph","(GenBank) 2-phosphoglycolate phosphatase","Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"9","R2866_0020","asnA","(GenBank) Asparagine synthetase A","Alanine, aspartate and glutamate metabolism, Cyanoamino acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"10","R2866_0025","cysQ","(GenBank) Probable 3'-phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase (CysQ)","Sulfur metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"11","R2866_0026","zwf","(GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism"
"12","R2866_0027","pgl","(GenBank) Probable 6-phosphogluconolactonase (6PGL)","Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism"
"13","R2866_0030","gnd","(GenBank) 6-phosphogluconate dehydrogenase, decarboxylating (6PGD)","Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism"
"14","R2866_0032","apaH","(GenBank) Diadenosine tetraphosphatase (Ap4A hydrolase)","Purine metabolism, Metabolic pathways"
"15","R2866_0036","rps6","(GenBank) 30S ribosomal subunit protein S6","Ribosome"
"16","R2866_0037","priB","(GenBank) Primosomal replication protein N","Homologous recombination"
"17","R2866_0038","rpS18","(GenBank) 30S ribosomal subunit protein S18","Ribosome"
"18","R2866_0039","rpL9","(GenBank) 50S ribosomal subunit protein L9","Ribosome"
"19","R2866_0040","groEL","(GenBank) GroEL, chaperone Hsp60","RNA degradation"
"20","R2866_0044","aspA","(GenBank) Aspartate ammonia-lyase (aspartase)","Alanine, aspartate and glutamate metabolism, Metabolic pathways"
"21","R2866_0045","rpoD","(GenBank) RNA polymerase sigma-70 factor","Flagellar assembly"
"22","R2866_0046","dnaG","(GenBank) DNA primase","DNA replication"
"23","R2866_0047","rpS21","(GenBank) 30S ribosomal subunit protein S21","Ribosome"
"24","R2866_0049","tdk","(GenBank) Thymidine kinase","Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
"25","R2866_0053","pgk","(GenBank) Phosphoglycerate kinase","Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"26","R2866_0054","fba","(GenBank) Fructose-bisphosphate aldolase, class II","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"27","R2866_0060","deoD","(GenBank) Purine-nucleoside phosphorylase (PNPase)","Purine metabolism, Nicotinate and nicotinamide metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism"
"28","R2866_0061","rpL11","(GenBank) 50S ribosomal subunit protein L11","Ribosome"
"29","R2866_0062","rpL1","(GenBank) 50S ribosomal subunit protein L1","Ribosome"
"30","R2866_0063","rpoB","(GenBank) DNA-directed RNA polymerase beta chain","RNA polymerase"
"31","R2866_0064","rpoC","(GenBank) DNA-directed RNA polymerase beta' chain","RNA polymerase"
"32","R2866_0067","menA","(GenBank) 1,4-dihydroxy-2-naphthoate octaprenyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"33","R2866_0071","rbsK","(GenBank) Ribokinase","Pentose phosphate pathway, Metabolic pathways"
"34","R2866_0072","rbsB","(GenBank) D-ribose ABC transporter, periplasmic-binding protein","ABC transporters, Bacterial chemotaxis"
"35","R2866_0073","rbsC","(GenBank) D-ribose ABC transporter, permease protein","ABC transporters"
"36","R2866_0074","rbsA","(GenBank) D-ribose ABC transporter, ATP-binding protein","ABC transporters"
"37","R2866_0075","rbsD","(GenBank) D-ribose pyranase","ABC transporters"
"38","R2866_0077","ordL","(GenBank) Probable oxidoreductase OrdL","Arginine and proline metabolism, Metabolic pathways"
"39","R2866_0078","potD2","(GenBank) Spermidine/putrescine ABC transporter, periplasmic-binding protein","ABC transporters"
"40","R2866_0081","aphA","(GenBank) acid phosphatase/phosphotransferase","Riboflavin metabolism, Metabolic pathways"
