"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","CAALFM_C100060WA","TUP1, CaO19.6109 ","(RefSeq) chromatin-silencing transcriptional regulator","MAPK signaling pathway - yeast, Cell cycle - yeast"
"2","CAALFM_C100070WA","MVD, CaO19.6105 ","(RefSeq) diphosphomevalonate decarboxylase","Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
"3","CAALFM_C100100CA","CaO19.6100 ","(RefSeq) cardiolipin synthase","Glycerophospholipid metabolism, Metabolic pathways"
"4","CAALFM_C100120CA","TRP1, CaO19.6096 ","(RefSeq) phosphoribosylanthranilate isomerase","Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"5","CAALFM_C100170WA","LEU4, CaO19.6086 ","(RefSeq) 2-isopropylmalate synthase","Valine, leucine and isoleucine biosynthesis, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"6","CAALFM_C100180WA","RPL16A, CaO19.6085 ","(RefSeq) ribosomal 60S subunit protein L16A","Ribosome"
"7","CAALFM_C100230CA","BFA1, CaO19.6080 ","(RefSeq) Bfa1p","Cell cycle - yeast"
"8","CAALFM_C100320WA","CaO19.6076 ","(RefSeq) retromer subunit","Endocytosis"
"9","CAALFM_C100330CA","CaO19.6075 ","(RefSeq) CCR4-NOT core subunit","RNA degradation"
"10","CAALFM_C100340WA","HBR1, CaO19.6074 ","(RefSeq) nucleoside-triphosphatase","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism, Biosynthesis of cofactors, Ribosome biogenesis in eukaryotes"
"11","CAALFM_C100410CA","CaO19.6066 ","(RefSeq) hexadecenal dehydrogenase","Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"12","CAALFM_C100430WA","CaO19.6064 ","(RefSeq) phosphoinositide binding protein","Autophagy - other, Autophagy - yeast"
"13","CAALFM_C100500CA","GLO1, CaO19.6058 ","(RefSeq) lactoylglutathione lyase","Pyruvate metabolism, Metabolic pathways"
"14","CAALFM_C100510WA","CaO19.6057 ","(RefSeq) 3-methyl-2-oxobutanoate hydroxymethyltransferase","Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
