"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","COG_ID","COG_Category","KEGG_Pathway"
"1",NA,NA,NA,"P22609","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein secretion by the type II secretion system [GO:0015628]",NA,NA,NA,NA
"2",NA,NA,NA,"Q03381",NA,NA,NA,NA,NA
"3",NA,NA,NA,"P0DTB6","integral component of membrane [GO:0016021]",NA,NA,NA,NA
"4",NA,NA,NA,"P42514","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]",NA,NA,NA,NA
"5",NA,NA,NA,"Q9HUI3","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; arginine catabolic process [GO:0006527]",NA,NA,NA,NA
"6",NA,NA,NA,"P26276","magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; phosphomannomutase activity [GO:0004615]; alginic acid biosynthetic process [GO:0042121]; GDP-mannose biosynthetic process [GO:0009298]; lipopolysaccharide core region biosynthetic process [GO:0009244]; O antigen biosynthetic process [GO:0009243]",NA,NA,NA,NA
"7",NA,NA,NA,"G3XCV3","cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; exo-alpha-sialidase activity [GO:0004308]; ganglioside catabolic process [GO:0006689]; oligosaccharide catabolic process [GO:0009313]",NA,NA,NA,NA
"8",NA,NA,NA,"Q9I0H0",NA,NA,NA,NA,NA
"9",NA,NA,NA,"Q9I131",NA,NA,NA,NA,NA
"10",NA,NA,NA,"Q9I1A7",NA,NA,NA,NA,NA
"11",NA,NA,NA,"Q9I4Z8","cytosol [GO:0005829]; nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]; transcription antitermination factor activity, RNA binding [GO:0001072]; negative regulation of DNA-templated transcription, termination [GO:0060567]; regulation of gene expression [GO:0010468]",NA,NA,NA,NA
"12",NA,NA,NA,"Q9I0B1",NA,NA,NA,NA,NA
"13",NA,NA,NA,"Q9HWW9",NA,NA,NA,NA,NA
"14",NA,NA,NA,"Q9I4X8","protein kinase activity [GO:0004672]; phosphorelay signal transduction system [GO:0000160]",NA,NA,NA,NA
"15",NA,NA,NA,"Q9HZD9",NA,NA,NA,NA,NA
"16",NA,NA,NA,"Q9I5B7","nuclease activity [GO:0004518]",NA,NA,NA,NA
"17",NA,NA,NA,"Q9I2R1",NA,NA,NA,NA,NA
"18",NA,NA,NA,"Q9HV62",NA,NA,NA,NA,NA
"19",NA,NA,NA,"Q9HW41",NA,NA,NA,NA,NA
"20",NA,NA,NA,"Q9I5I7","integral component of membrane [GO:0016021]",NA,NA,NA,NA
"21",NA,NA,NA,"Q9I2G8",NA,NA,NA,NA,NA
"22",NA,NA,NA,"Q9HU28","cytoplasm [GO:0005737]",NA,NA,NA,NA
"23",NA,NA,NA,"Q9I0B4","RNA binding [GO:0003723]",NA,NA,NA,NA
"24",NA,NA,NA,"Q9HU07",NA,NA,NA,NA,NA
"25",NA,NA,NA,"Q9I3R7",NA,NA,NA,NA,NA
"26",NA,NA,NA,"Q9HUT8","catalytic activity [GO:0003824]; molybdenum ion binding [GO:0030151]; pyridoxal phosphate binding [GO:0030170]",NA,NA,NA,NA
"27",NA,NA,NA,"Q9I4Y9",NA,NA,NA,NA,NA
"28",NA,NA,NA,"Q9I656",NA,NA,NA,NA,NA
"29",NA,NA,NA,"Q9I1X6",NA,NA,NA,NA,NA
"30",NA,NA,NA,"Q9I2G9",NA,NA,NA,NA,NA
"31",NA,NA,NA,"Q9HYW8",NA,NA,NA,NA,NA
"32",NA,NA,NA,"Q9I3F8",NA,NA,NA,NA,NA
"33",NA,NA,NA,"Q9I665",NA,NA,NA,NA,NA
"34",NA,NA,NA,"Q9I1S9",NA,NA,NA,NA,NA
"35",NA,NA,NA,"Q9HU97","protein ubiquitination [GO:0016567]; ubiquitin-dependent ERAD pathway [GO:0030433]",NA,NA,NA,NA
"36",NA,NA,NA,"Q9HUV4","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]",NA,NA,NA,NA
"37",NA,NA,NA,"Q9HT42",NA,NA,NA,NA,NA
"38",NA,NA,NA,"G3XCZ7","methyltransferase activity [GO:0008168]",NA,NA,NA,NA
"39",NA,NA,NA,"Q9I5L1",NA,NA,NA,NA,NA
"40",NA,NA,NA,"Q9HZL5","cyclic-di-GMP binding [GO:0035438]",NA,NA,NA,NA
"41",NA,NA,NA,"Q9I266",NA,NA,NA,NA,NA
"42",NA,NA,NA,"Q9I0A5","DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,NA
"43",NA,NA,NA,"Q9I130","cytoplasm [GO:0005737]; enterochelin esterase activity [GO:0008849]; iron ion binding [GO:0005506]; iron ion transport [GO:0006826]",NA,NA,NA,NA
"44",NA,NA,NA,"Q9I4L3","peptide deformylase activity [GO:0042586]; co-translational protein modification [GO:0043686]; N-terminal protein amino acid modification [GO:0031365]; peptidyl-methionine modification [GO:0018206]",NA,NA,NA,NA
"45",NA,NA,NA,"Q9HT90",NA,NA,NA,NA,NA
"46",NA,NA,NA,"Q9HX52",NA,NA,NA,NA,NA
"47",NA,NA,NA,"G3XCU4",NA,NA,NA,NA,NA
"48",NA,NA,NA,"Q9I267","cytosol [GO:0005829]; catalytic activity [GO:0003824]; oxidoreductase activity [GO:0016491]",NA,NA,NA,NA
