"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","Bcen_0001","","(GenBank) Enzymatic protein of unknown function","Glutathione metabolism, Metabolic pathways"
"2","Bcen_0008","","(GenBank) Type II secretion system gspD","Bacterial secretion system"
"3","Bcen_0009","","(GenBank) type II secretion system protein E (GspE)","Bacterial secretion system"
"4","Bcen_0010","","(GenBank) General secretion pathway protein F","Bacterial secretion system"
"5","Bcen_0011","","(GenBank) conserved hypothetical protein","Bacterial secretion system"
"6","Bcen_0012","","(GenBank) General secretion pathway protein G","Bacterial secretion system"
"7","Bcen_0013","","(GenBank) General secretion pathway protein H","Bacterial secretion system"
"8","Bcen_0014","","(GenBank) General secretion pathway protein I","Bacterial secretion system"
"9","Bcen_0015","","(GenBank) putative general secretion pathway protein J","Bacterial secretion system"
"10","Bcen_0016","","(GenBank) General secretion pathway protein K","Bacterial secretion system"
"11","Bcen_0017","","(GenBank) General secretion pathway L","Bacterial secretion system"
"12","Bcen_0018","","(GenBank) General secretion pathway M protein","Bacterial secretion system"
"13","Bcen_0029","","(GenBank) flagellar basal body-associated protein FliL","Flagellar assembly"
"14","Bcen_0030","","(GenBank) flagellar motor switch protein FliM","Bacterial chemotaxis, Flagellar assembly"
"15","Bcen_0031","","(GenBank) Flagellar motor switch FliN","Bacterial chemotaxis, Flagellar assembly"
"16","Bcen_0032","","(GenBank) flagellar biosynthesis protein, FliO","Flagellar assembly"
"17","Bcen_0033","","(GenBank) flagellar biosynthetic protein FliP","Flagellar assembly"
"18","Bcen_0034","","(GenBank) flagellar biosynthetic protein FliQ","Flagellar assembly"
"19","Bcen_0035","","(GenBank) flagellar biosynthetic protein FliR","Flagellar assembly"
"20","Bcen_0036","","(GenBank) ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","Sulfur metabolism, ABC transporters"
"21","Bcen_0037","","(GenBank) ABC transporter related protein","Sulfur metabolism, ABC transporters"
"22","Bcen_0038","","(GenBank) binding-protein-dependent transport systems inner membrane component","Sulfur metabolism, ABC transporters"
"23","Bcen_0039","","(GenBank) periplasmic sensor signal transduction histidine kinase","Two-component system"
"24","Bcen_0040","","(GenBank) two component transcriptional regulator, winged helix family","Two-component system"
"25","Bcen_R0001","","(GenBank) tRNA-Val","Aminoacyl-tRNA biosynthesis"
"26","Bcen_0061","","(GenBank) Catalase-like protein","Tryptophan metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
"27","Bcen_R0002","","(GenBank) 16S ribosomal RNA","Ribosome"
"28","Bcen_R0003","","(GenBank) 23S ribosomal RNA","Ribosome"
"29","Bcen_R0004","","(GenBank) 5S ribosomal RNA","Ribosome"
"30","Bcen_0064","","(GenBank) AMP-dependent synthetase and ligase","Fatty acid biosynthesis, Fatty acid degradation, Metabolic pathways, Fatty acid metabolism, Quorum sensing"
"31","Bcen_0067","","(GenBank) ubiquinone biosynthesis protein COQ7-like protein","Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"32","Bcen_0071","","(GenBank) peptidoglycan synthetase FtsI","Peptidoglycan biosynthesis, Metabolic pathways, beta-Lactam resistance"
"33","Bcen_0072","","(GenBank) UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase","Lysine biosynthesis, Peptidoglycan biosynthesis, Metabolic pathways"
"34","Bcen_0073","","(GenBank) UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","Lysine biosynthesis, Peptidoglycan biosynthesis, Metabolic pathways, Vancomycin resistance"
"35","Bcen_0074","","(GenBank) Phospho-N-acetylmuramoyl-pentapeptide-transferase","Peptidoglycan biosynthesis, Metabolic pathways, Vancomycin resistance"
"36","Bcen_0075","","(GenBank) UDP-N-acetylmuramoylalanine--D-glutamate ligase","D-Amino acid metabolism, Peptidoglycan biosynthesis, Metabolic pathways"
"37","Bcen_0077","","(GenBank) UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","Peptidoglycan biosynthesis, Metabolic pathways, Vancomycin resistance"
"38","Bcen_0078","","(GenBank) UDP-N-acetylmuramate--L-alanine ligase","Peptidoglycan biosynthesis, Metabolic pathways"
"39","Bcen_0079","","(GenBank) D-alanine--D-alanine ligase","D-Amino acid metabolism, Peptidoglycan biosynthesis, Metabolic pathways, Vancomycin resistance"
"40","Bcen_0083","","(GenBank) Redoxin","Glutathione metabolism, Metabolic pathways"
"41","Bcen_0084","","(GenBank) UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase","Lipopolysaccharide biosynthesis, Metabolic pathways"
"42","Bcen_0087","","(GenBank) protein translocase subunit secA","Quorum sensing, Protein export, Bacterial secretion system"
"43","Bcen_0088","","(GenBank) glutamate N-acetyltransferase","Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"44","Bcen_0093","","(GenBank) Dephospho-CoA kinase","Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
"45","Bcen_R0005","","(GenBank) tRNA-Pro","Aminoacyl-tRNA biosynthesis"
"46","Bcen_0098","","(GenBank) Trans-hexaprenyltranstransferase","Terpenoid backbone biosynthesis, Biosynthesis of secondary metabolites"
"47","Bcen_0099","","(GenBank) LSU ribosomal protein L21P","Ribosome"
"48","Bcen_0100","","(GenBank) LSU ribosomal protein L27P","Ribosome"
"49","Bcen_0102","","(GenBank) glutamate 5-kinase","Arginine and proline metabolism, Carbapenem biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"50","Bcen_0104","","(GenBank) NUDIX hydrolase","RNA degradation"
"51","Bcen_0105","","(GenBank) prolyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"52","Bcen_0107","","(GenBank) phosphoribosyltransferase","Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism"
"53","Bcen_0108","","(GenBank) signal recognition particle subunit FFH/SRP54 (srp54)","Quorum sensing, Protein export, Bacterial secretion system"
"54","Bcen_0112","","(GenBank) Ribonucleoside-diphosphate reductase, alpha subunit","Purine metabolism, Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
"55","Bcen_0113","","(GenBank) Ribonucleoside-diphosphate reductase","Purine metabolism, Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
"56","Bcen_0117","","(GenBank) Adenosine kinase","Purine metabolism, Metabolic pathways, Nucleotide metabolism"
"57","Bcen_0121","","(GenBank) acetyl-CoA carboxylase, biotin carboxylase","Fatty acid biosynthesis, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism"
"58","Bcen_0122","","(GenBank) biotin carboxyl carrier protein","Fatty acid biosynthesis, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism"
"59","Bcen_0123","","(GenBank) 3-dehydroquinate dehydratase","Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"60","Bcen_0130","","(GenBank) shikimate dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis, Biosynthesis of various plant secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"61","Bcen_0131","","(GenBank) Monofunctional biosynthetic peptidoglycan transglycosylase","Peptidoglycan biosynthesis, Metabolic pathways"
"62","Bcen_0135","","(GenBank) 2-keto-3-deoxygalactonate kinase","Galactose metabolism, Metabolic pathways"
"63","Bcen_0136","","(GenBank) 2-keto-3-deoxy-phosphogalactonate aldolase","Galactose metabolism, Metabolic pathways"
"64","Bcen_0138","","(GenBank) L-arabinose-binding protein","ABC transporters"
"65","Bcen_0139","","(GenBank) L-arabinose ABC transporter ATP-binding protein","ABC transporters"
"66","Bcen_0140","","(GenBank) L-arabinose ABC transporter membrane protein","ABC transporters"
"67","Bcen_0141","","(GenBank) short-chain dehydrogenase/reductase SDR","Pentose and glucuronate interconversions, Metabolic pathways"
"68","Bcen_0142","","(GenBank) Aldose 1-epimerase","Glycolysis / Gluconeogenesis, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"69","Bcen_0143","","(GenBank) Orotidine 5'-phosphate decarboxylase subfamily 2","Pyrimidine metabolism, Metabolic pathways, Biosynthesis of cofactors"
"70","Bcen_0145","","(GenBank) CinA-like protein","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"71","Bcen_0146","","(GenBank) phosphatidylglycerophosphatase","Glycerophospholipid metabolism, Metabolic pathways"
"72","Bcen_0147","","(GenBank) thiamine-phosphate kinase","Thiamine metabolism, Metabolic pathways, Biosynthesis of cofactors"
"73","Bcen_0148","","(GenBank) Malate dehydrogenase (oxaloacetate decarboxylating) (NADP+)., Phosphate acetyltransferase","Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"74","Bcen_0154","","(GenBank) spermidine synthase","Cysteine and methionine metabolism, Arginine and proline metabolism, Glutathione metabolism, Metabolic pathways"
"75","Bcen_0155","","(GenBank) transketolase","Pentose phosphate pathway, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"76","Bcen_0156","","(GenBank) glyceraldehyde-3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"77","Bcen_0163","","(GenBank) sodium:dicarboxylate symporter","Two-component system"
"78","Bcen_0164","","(GenBank) Allantoicase","Purine metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"79","Bcen_0165","","(GenBank) Ureidoglycolate hydrolase","Purine metabolism, Metabolic pathways"
"80","Bcen_0168","","(GenBank) dihydrodipicolinate reductase","Monobactam biosynthesis, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of amino acids"
"81","Bcen_0171","","(GenBank) leucyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"82","Bcen_0173","","(GenBank) DNA polymerase III, delta subunit","DNA replication, Mismatch repair, Homologous recombination"
"83","Bcen_0174","","(GenBank) glutamate-5-semialdehyde dehydrogenase","Arginine and proline metabolism, Carbapenem biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"84","Bcen_0175","","(GenBank) conserved hypothetical protein 701","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"85","Bcen_0177","","(GenBank) 6-phosphogluconate dehydratase","Pentose phosphate pathway, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"86","Bcen_0178","","(GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Pentose phosphate pathway, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"87","Bcen_0180","","(GenBank) gluconate kinase, SKI family","Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism"
"88","Bcen_0182","","(GenBank) FAD dependent oxidoreductase","Arginine and proline metabolism, Metabolic pathways"
"89","Bcen_0183","","(GenBank) Adenylosuccinate lyase","Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism, Biosynthesis of cofactors"
"90","Bcen_0185","","(GenBank) Glu/Leu/Phe/Val dehydrogenase","Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"91","Bcen_0186","","(GenBank) L-aspartate-binding protein / L-glutamate-binding protein","ABC transporters, Two-component system"
"92","Bcen_0187","","(GenBank) L-glutamate ABC transporter membrane protein / L-aspartate ABC transporter membrane protein","ABC transporters, Two-component system"
"93","Bcen_0188","","(GenBank) L-aspartate ABC transporter membrane protein / L-glutamate ABC transporter membrane protein","ABC transporters, Two-component system"
"94","Bcen_0189","","(GenBank) L-glutamate ABC transporter ATP-binding protein / L-aspartate ABC transporter ATP-binding protein","ABC transporters, Two-component system"
"95","Bcen_0192","","(GenBank) dihydroorotase","Pyrimidine metabolism, Metabolic pathways, Biosynthesis of cofactors"
"96","Bcen_0196","","(GenBank) LSU ribosomal protein L13P","Ribosome"
"97","Bcen_0197","","(GenBank) SSU ribosomal protein S9P","Ribosome"
"98","Bcen_0199","","(GenBank) protein of unknown function UPF0075","Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars"
"99","Bcen_0200","","(GenBank) tyrosyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"100","Bcen_0202","","(GenBank) phosphoglycerate mutase","Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"101","Bcen_0205","","(GenBank) Holliday junction DNA helicase RuvB","Homologous recombination"
"102","Bcen_0206","","(GenBank) Holliday junction DNA helicase RuvA","Homologous recombination"
"103","Bcen_0207","","(GenBank) crossover junction endodeoxyribonuclease RuvC","Homologous recombination"
"104","Bcen_0208","","(GenBank) IMP cyclohydrolase","Purine metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites"
"105","Bcen_0210","","(GenBank) Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family","Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"106","Bcen_0212","","(GenBank) glutathione S-transferase-like protein","Glutathione metabolism, Metabolic pathways"
"107","Bcen_0214","","(GenBank) tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","Sulfur relay system"
"108","Bcen_0216","","(GenBank) alanine dehydrogenase/PNT-like protein","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"109","Bcen_0217","","(GenBank) NAD/NADP transhydrogenase alpha subunit-like protein","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"110","Bcen_0218","","(GenBank) NAD(P) transhydrogenase, beta subunit","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"111","Bcen_0220","","(GenBank) Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase","Tryptophan metabolism, Cyanoamino acid metabolism, Aminobenzoate degradation, Styrene degradation, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"112","Bcen_0235","","(GenBank) protein translocase subunit secF","Protein export, Bacterial secretion system"
"113","Bcen_0236","","(GenBank) protein-export membrane protein SecD","Protein export, Bacterial secretion system"
"114","Bcen_0237","","(GenBank) protein translocase subunit yajC","Quorum sensing, Protein export, Bacterial secretion system"
"115","Bcen_0240","","(GenBank) ATP-dependent DNA helicase RecG","Homologous recombination"
"116","Bcen_0242","","(GenBank) catalase/peroxidase HPI","Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"117","Bcen_0245","","(GenBank) 4-hydroxybenzoate octaprenyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"118","Bcen_0246","","(GenBank) pyrroline-5-carboxylate reductase","Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"119","Bcen_0248","","(GenBank) protein of unknown function DUF224, cysteine-rich region","Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"120","Bcen_0249","","(GenBank) FAD linked oxidase-like protein","Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"121","Bcen_0250","","(GenBank) FAD linked oxidase-like protein","Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"122","Bcen_0251","","(GenBank) FAD linked oxidase-like protein","Pyruvate metabolism, Metabolic pathways"
